day,Overall_Calories,Overall_Proteins,Overall_Carbs,Overall_Fats,Overall_Fibres,Breakfast_Items,Lunch_Items,Dinner_Items,Pre_workout_snack_Items,Post_workout_snack_Items,Mor_snac_Items,Eve_snack_Items,Breakfast_Serving,Lunch_Serving,Dinner_Serving,Pre_workout_snack_Serving,Post_workout_snack_Serving,Mor_snac_Serving,Eve_snack_Serving,Breakfast_Calories,Lunch_Calories,Dinner_Calories,Pre_workout_snack_Calories,Post_workout_snack_Calories,Mor_snac_Calories,Eve_snack_Calories,Breakfast_Carbs,Lunch_Carbs,Dinner_Carbs,Pre_workout_snack_Carbs,Post_workout_snack_Carbs,Mor_snac_Carbs,Eve_snack_Carbs,Breakfast_Proteins,Lunch_Proteins,Dinner_Proteins,Pre_workout_snack_Proteins,Post_workout_snack_Proteins,Mor_snac_Proteins,Eve_snack_Proteins,Breakfast_Fats,Lunch_Fats,Dinner_Fats,Pre_workout_snack_Fats,Post_workout_snack_Fats,Mor_snac_Fats,Eve_snack_Fats,Breakfast_Fibre,Lunch_Fibre,Dinner_Fibre,Pre_workout_snack_Fibre,Post_workout_snack_Fibre,Mor_snac_Fibre,Eve_snack_Fibre,Type,Region,Condition,Diet,Value
Day 2,2067.5 kcal,74.15 g,307.6 g,71.7 g,49.2 g,Peas poha,Paneer Pulao | Lauki raita | Methi Bhaji | Jowar roti,Wheat Roti | Daal | Soyabean Curry | Capsicum lettuce salad,Granola bar | Almonds,Papaya smoothie,Chia seeds | Pomegranate | walnuts,Makhana | Buttermilk,2 katori,2 Katori | 1 katori | 1 Katori | 1 piece,2 roti | 1 bowl | 1 Katori | 1 katori,1 bar | 6 almond,1 glass,1 tbsp | 1 cup | 6 piece,1.5 katori | 1 glass,280,272 | 68 | 114 | 83,170 | 116 | 120 | 49,119 | 42,148,47 | 144 | 84,166.5 | 45,55.8,39 | 4.4 | 12.1 | 17.8,34.8 | 18.7 | 7.3 | 3.7,16.9 | 1.8,18.3,4.1 | 32.5 | 1.2,36.9 | 2.3,6,13.8 | 3.4 | 3.8 | 1.8,6 | 7.2 | 8.8 | 1.1,1.9 | 1.8,5.3,1.6 | 2.9 | 1.8,4.65 | 2.3,4,13.8 | 4.2 | 5.7 | 0.8,0.8 | 1.4 | 6.2 | 3.7,4.9 | 3.6,6.2,3 | 2 | 8.4,0 | 3,2.2,0.6 | 0.9 | 4.2 | 1.5,5.4 | 3.1 | 5.3 | 1.9,2.2 | 1.2,2.3,3.3 | 7 | 1.2,6.9 | 0,Weight Gain,North Indian,Diabetes,Veg,2100
Day 3,2112 kcal,83.75 g,280.45 g,76.3 g,53.85 g,Coconut Chutney | Drumstick sambhar | Rava idli,Mix daal | Carrot tomato salad | Gavar sabzi | Ragi/nachni roti,Bajra roti | Chana Soyabean Bhaji,Apple smoothie | walnuts,Tofu,Carrot beetroot juice | Soaked and peeled almonds,Vegetable Sandwich,4 Teaspoon | 1.5 katori | 3 rava,1 katori | 1 katori | 1 katori | 3 roti,2 piece | 1.5 Katori,1 glass | 6 piece,1 serving,1 glass | 6 almond,1 Sandwich,68 | 139.5 | 252,149 | 27 | 65 | 261,226 | 211.5,145 | 84,144,72 | 48,220,2.8 | 16.5 | 40.8,22.4 | 5.4 | 4.7 | 57.6,38.2 | 17.25,22 | 1.2,2.8,15.7 | 0.6,32.5,0.8 | 6.3 | 7.8,8.7 | 0.9 | 2.6 | 6,6.6 | 12.45,3.6 | 1.8,17.3,2.1 | 1.8,5,6 | 5.4 | 6.6,2.9 | 0.2 | 3.8 | 1.2,5.2 | 10.8,4.9 | 8.4,8.7,0 | 4.2,8,2 | 3.45 | 3.3,6 | 2.5 | 3.6 | 9.3,6.4 | 3.6,1.6 | 1.2,2.3,1 | 1.2,6.4,Weight Gain,North Indian,Diabetes,Veg,2100
Day 4,2070 kcal,74.8 g,272.1 g,79.4 g,55.5 g,Dahi | Besan chilla,Veg Fried Rice | Kheera tamatar salad | Bajra roti | Masooor Bhaji,Wheat Roti | Tinda sabzi | Mix daal | Green salad,Oatmeal porridge | Flax seeds,Sprouts,Pear | Almonds | walnuts,Puffed Rice Chivda | Ragi with buttermilk,1 katori | 3 chilla,1 Katori | 1 katori | 2 piece | 1 Katori,2 roti | 1 katori | 1 katori | 1 katori,1 katori | 1 tbsp,2 Katori,1 piece | 6 almond | 6 piece,1 Katori | 1 glass,90 | 324,137 | 15 | 226 | 189,170 | 55 | 149 | 60,140 | 55,48,42 | 84,138 | 71,4.5 | 32.4,21.6 | 3.2 | 38.2 | 24.7,34.8 | 3.5 | 22.4 | 2.8,16.7 | 3,9.6,77 | 1.8 | 1.2,19.8 | 14.3,4.7 | 12,2.7 | 0.6 | 6.6 | 8.5,6 | 1.2 | 8.7 | 1.4,6.2 | 1.9,4.8,17.6 | 1.8 | 1.8,3.2 | 1.8,6 | 15.9,4.4 | 0.1 | 5.2 | 6.4,0.8 | 4 | 2.9 | 4.8,5.9 | 4.4,0.4,0.9 | 3.6 | 8.4,5.1 | 0.8,0 | 6.9,0.6 | 0.9 | 6.4 | 5.6,5.4 | 0.9 | 6 | 1.7,2 | 2.8,2.8,0.3 | 1.2 | 1.2,2.4 | 2.3,Weight Gain,North Indian,Diabetes,Veg,2100
Day 1,1678 kcal,78.75 g,204.95 g,62.6 g,41.9 g,Upma,Wheat Roti | Bhindi Sabzi | Buttermilk | Mix daal | Carrot cucumber salad,Chicken curry | Carrot tomato salad | Brown rice,Papaya | walnuts | Almonds,Egg white,Apple | Flax seeds | Cashew Nuts,Besan chilla | Dahi,2 katori,2 roti | 1 Katori | 1 glass | 1 katori | 1 katori,1 katori | 1 katori | 1 katori,1 cup | 6 piece | 6 almond,boiled,1 piece | 1 tbsp | 6 Piece,1 chilla | 0.5 katori,342,170 | 68 | 45 | 149 | 21,163 | 27 | 109,84 | 42,4 piece,55 | 48,108 | 45,48.6,34.8 | 7.1 | 2.3 | 22.4 | 4.9,4.6 | 5.4 | 22.8,46 | 1.2 | 1.8,68,88 | 3 | 1.8,10.8 | 2.25,8.8,6 | 1.8 | 2.3 | 8.7 | 0.7,17.9 | 0.9 | 2.4,10.4 | 1.8 | 1.8,0.8,20 | 1.9 | 1.8,4 | 2.35,12.6,0.8 | 3.7 | 3 | 2.9 | 0.1,7.7 | 0.2 | 0.9,0.9 | 8.4 | 3.6,14.4,0.3 | 4.4 | 4.2,5.3 | 3,5,5.4 | 3.1 | 0 | 6 | 1.1,1.7 | 2.5 | 1,0.2 | 1.2 | 1.2,0.8,0.8 | 2.8 | 0,2.3 | 0,Weight Loss,Maharashtrian,Cholesterol,Non Veg,1700
Day 2,1694.5 kcal,77 g,213.25 g,63.25 g,42.3 g,Dahi | Stuffed Vegetable Paratha,Sprouts curry | Grilled paneer | Kheera tamatar salad | Brown rice,Paneer capsicum sabzi | Carrot cucumber salad | Wheat Roti,Plain oats | Cow milk | Pomegranate,Egg white,Pear | Almonds,Boiled sprouted chana,1 katori | 2 Piece,1 katori | 0.5 serving | 1 katori | 1 katori,1.5 katori | 1 katori | 2 roti,1 serving | 0.5 glass | 0.5 cup,boiled,1 piece | 4 almond,1 katori,90 | 242,104 | 143.5 | 15 | 109,198 | 21 | 170,112 | 84 | 72,4 piece,28,161,4.5 | 32.8,14.3 | 0.9 | 3.2 | 22.8,7.8 | 4.9 | 34.8,18.9 | 5.5 | 16.25,68,77 | 1.2,27,4.7 | 5.8,4.6 | 8.45 | 0.6 | 2.4,9 | 0.7 | 6,4.1 | 4 | 1.45,0.8,17.6 | 1.2,8.7,6 | 10,4.1 | 11.85 | 0.1 | 0.9,14.85 | 0.1 | 0.8,2.3 | 5.15 | 1,14.4,0.9 | 2.4,2.6,0 | 6.8,2.5 | 0.25 | 0.9 | 1,2.85 | 1.1 | 5.4,3.3 | 0 | 3.5,0.8,0.3 | 0.8,7.5,Weight Loss,Maharashtrian,Cholesterol,Non Veg,1700
Day 3,1698 kcal,81.1 g,196.8 g,68.6 g,39.6 g,Dahi | Vegetable dalia,Bajra roti | Chicken curry | Green salad,Soya chunk pulao | Tomato cucumber raita,Oatmeal porridge | Pumpkin seeds,Boiled Egg,Coconut water | Almonds | Cashew Nuts,Carrot Soup | Makhana,1 katori | 2 katori,2 piece | 1 katori | 1 katori,1.5 katori | 1 katori,1 katori | 1 tbsp,2 Egg,1 piece | 6 almond | 6 Piece,1 Bowl | 1 katori,90 | 166,226 | 163 | 60,222 | 51,140 | 52,172,49 | 42 | 48,106 | 111,4.5 | 30.8,38.2 | 4.6 | 2.8,35.4 | 5.5,16.7 | 1.3,2,9.1 | 1.8 | 1.8,17.7 | 24.6,4.7 | 5.4,6.6 | 17.9 | 1.4,9.3 | 2.5,6.2 | 2.7,13.2,2.9 | 1.8 | 1.8,1.6 | 3.1,6 | 3.2,5.2 | 7.7 | 4.8,4.5 | 2.4,5.9 | 4.4,13.2,0.2 | 3.6 | 4.2,3.3 | 0,0 | 8,6.4 | 1.7 | 1.7,3.6 | 1.1,2 | 0.6,0,2.3 | 1.2 | 0,6.4 | 4.6,Weight Loss,Maharashtrian,Cholesterol,Non Veg,1700
Day 4,1686 kcal,77.2 g,207.35 g,61.9 g,40.9 g,Dahi | Gobi matar paratha,Wheat Roti | Lobia sabzi | Buttermilk | Carrot tomato salad,Chicken drumstick gravy | Green salad | Brown rice,Mosambi | walnuts,Roasted chicken,Chia seeds | Pineapple | Cashew Nuts,Roasted chana,1 katori | 2 piece,2 roti | 1 katori | 1 glass | 1 katori,1 katori | 1 katori | 1 katori,1 piece | 6 piece,0.5 chicken,1 tbsp | 2 thin | 6 Piece,1 katori,90 | 294,170 | 114 | 45 | 27,140 | 60 | 109,29 | 84,107,47 | 52 | 48,270,4.5 | 41.4,34.8 | 16 | 2.3 | 5.4,5.2 | 2.8 | 22.8,6.2 | 1.2,0.65,4.1 | 12.2 | 1.8,46,4.7 | 9.2,6 | 6.7 | 2.3 | 0.9,13.7 | 1.4 | 2.4,0.5 | 1.8,14.2,1.6 | 0.4 | 1.8,9.6,6 | 10.2,0.8 | 2.7 | 3 | 0.2,7.1 | 4.8 | 0.9,0.2 | 8.4,4.9,3 | 0.2 | 4.2,5.3,0 | 9.2,5.4 | 2.4 | 0 | 2.5,1.9 | 1.7 | 1,1.8 | 1.2,0.1,3.3 | 3.2 | 0,7.2,Weight Loss,Maharashtrian,Cholesterol,Non Veg,1700
Day 1,1176 kcal,60.8 g,138.8 g,43.7 g,31.8 g,Dhaniya pudina chutney | Besan chilla,Bhindi Sabzi | Daal | Bajra roti,Chicken curry | Carrot tomato salad | Wheat Roti,Orange | Cashew Nuts,Boiled Egg,Chia seeds | Pineapple,Sprouts Salad,2 tbsp | 1 chilla,1 Katori | 1 bowl | 2 piece,1 katori | 1 katori | 1 roti,1 piece | 4 Piece,2 Egg,1 tbsp | 2 thin,1 Katori,10 | 108,68 | 116 | 226,163 | 27 | 85,32,172,47 | 52,24,1.6 | 10.8,7.1 | 18.7 | 38.2,4.6 | 5.4 | 17.4,46 | 1.2,2,4.1 | 12.2,5,0.6 | 4,1.8 | 7.2 | 6.6,17.9 | 0.9 | 3,10.5 | 1.2,13.2,1.6 | 0.4,1.7,0.2 | 5.3,3.7 | 1.4 | 5.2,7.7 | 0.2 | 0.4,0.7 | 2.8,13.2,3 | 0.2,0.2,1 | 2.3,3.1 | 3.1 | 6.4,1.7 | 2.5 | 2.7,0.2 | 0,0,3.3 | 3.2,1.4,Weight Loss,Maharashtrian,Diabetes,Non Veg,1200
Day 2,1208.5 kcal,51.75 g,153.4 g,44.9 g,26.25 g,Wheat Roti | Egg Omelette,Soya chunk pulao | Tomato cucumber raita,Wheat Roti | Cabbage sabzi | Daal,Mosambi | Cashew Nuts,Apple smoothie,Almonds | Coconut water,Roasted peanuts,1 roti | 2 Piece,1 katori | 1 katori,2 roti | 1 katori | 1 bowl,1 piece | 4 Piece,1 glass,4 almond | 1 piece,0.5 serving,85 | 208,148 | 51,170 | 62 | 116,29 | 32,145,28 | 49,85.5,17.4 | 5,23.6 | 5.5,34.8 | 4.7 | 18.7,6.2 | 1.2,22,1.2 | 9.1,4,3 | 12,6.2 | 2.5,6 | 1.5 | 7.2,0.5 | 1.2,3.6,1.2 | 2.9,3.95,0.4 | 16.2,3 | 2.4,0.8 | 4.2 | 1.4,0.2 | 2.8,4.9,2.4 | 0.2,6,2.7 | 0.8,2.4 | 1.1,5.4 | 2.6 | 3.1,1.8 | 0,1.6,0.8 | 2.3,1.65,Weight Loss,Maharashtrian,Diabetes,Non Veg,1200
Day 3,1185 kcal,59.35 g,152.1 g,40.55 g,25.85 g,Paneer Paratha | Dhaniya pudina chutney,Capsicum lettuce salad | Curd Rice,Daal | Carrot tomato salad | Wheat Roti,Peanut butter with whole wheat bread,Boiled chicken,Fresh fruit salad | Almonds | Pumpkin seeds,Puffed Rice Chivda,1 Piece | 2 tbsp,1 katori | 1.5 Small,1 bowl | 1 katori | 1 roti,1 slice,0.5 katori,1 katori | 4 almond | 1 tbsp,1 Katori,224 | 10,49 | 201,116 | 27 | 85,117,78,60 | 28 | 52,138,24.1 | 1.6,3.7 | 31.8,18.7 | 5.4 | 17.4,13,0.1,14 | 1.2 | 1.3,19.8,9.2 | 0.6,1.1 | 5.55,7.2 | 0.9 | 3,5.4,18.4,0.9 | 1.2 | 2.7,3.2,10.9 | 0.2,3.7 | 5.7,1.4 | 0.2 | 0.4,5.2,0.45,0.5 | 2.4 | 4.4,5.1,3.8 | 1,1.9 | 0.9,3.1 | 2.5 | 2.7,2.5,0.05,3.6 | 0.8 | 0.6,2.4,Weight Loss,Maharashtrian,Diabetes,Non Veg,1200
Day 4,1197.5 kcal,56.9 g,140.75 g,47.25 g,30.25 g,Gobi matar paratha | Dahi,Wheat Roti | Fish Curry | Carrot tomato salad,Chana palak curry | Grilled paneer | Ragi/nachni roti,Cashew Nuts | walnuts,Sprouts,Carrot beetroot juice | Soaked and peeled almonds | Chia seeds,Masala Toast Sandwich,1 piece | 0.5 katori,2 roti | 1 Katori | 1 katori,1 katori | 0.5 serving | 1 roti,4 Piece | 3 piece,1 Katori,1 glass | 6 almond | 1 tbsp,1 Piece,147 | 45,170 | 116 | 27,129 | 143.5 | 87,32 | 42,24,72 | 48 | 47,68,20.7 | 2.25,34.8 | 2.4 | 5.4,17.2 | 0.9 | 19.2,1.2 | 0.6,4.8,15.7 | 0.6 | 4.1,10.9,4.6 | 2.35,6 | 15.5 | 0.9,4.9 | 8.45 | 2,1.2 | 0.9,2.4,2.1 | 1.8 | 1.6,2.2,5.1 | 3,0.8 | 4.9 | 0.2,4.8 | 11.85 | 0.4,2.8 | 4.2,0.2,0 | 4.2 | 3,1.8,4.6 | 0,5.4 | 0.2 | 2.5,4.9 | 0.25 | 3.1,0 | 0.6,1.4,1 | 1.2 | 3.3,1.8,Weight Loss,Maharashtrian,Diabetes,Non Veg,1200
Day 1,1496.5 kcal,55.2 g,229.15 g,41.3 g,40.9 g,Peas poha | Cow milk,Ragi/nachni roti | Soyabean Curry | Bean salad | Daal,Coconut Rice | Drumstick rasam | Carrot cucumber salad,Pineapple | Almonds,Moong beans boiled,Makhana,Oats idli | Tomato chutney,1 katori | 1 glass,1.5 roti | 1 Katori | 1 katori | 0.5 bowl,1 Small | 1 katori | 1 katori,3 thin | 4 almond,1 katori,1 katori,2 piece | 2 tbsp,140 | 168,130.5 | 120 | 55 | 58,153 | 122 | 21,78 | 28,138,111,154 | 20,27.9 | 11,28.8 | 7.3 | 7.4 | 9.35,21.4 | 20.6 | 4.9,18.3 | 1.2,23.4,24.6,21 | 2,3 | 8,3 | 8.8 | 1.9 | 3.6,3.1 | 1.9 | 0.7,0.6 | 1.2,9.9,3.1,6 | 0.4,2 | 10.3,0.6 | 6.2 | 2 | 0.7,6.1 | 3.9 | 0.1,0.3 | 2.4,0.5,0,5 | 1.2,1.1 | 0,4.65 | 5.3 | 2.1 | 1.55,1.8 | 1.6 | 1.1,4.8 | 0.8,6.9,4.6,3.6 | 1,Weight Loss,South Indian,Diabetes,Veg,1500
Day 2,1478.5 kcal,57.95 g,211 g,47 g,42.15 g,Onion Rava Dosa | Rasam,Multi grain roti | Cabbage sabzi | Mix daal,Paneer capsicum sabzi | Wheat Roti | Carrot cucumber salad,Papaya smoothie,Boiled sprouted chana,Apple | Almonds | Cashew Nuts,Roasted peanuts | Buttermilk,1 Dosa | 1 Katori,2 roti | 1 katori | 1 katori,1 katori | 2 roti | 1 katori,1 glass,1 katori,1 piece | 4 almond | 4 Piece,0.5 serving | 1 glass,128 | 65,164 | 62 | 149,132 | 170 | 21,148,161,28 | 32,85.5 | 45,24 | 9.2,31.8 | 4.7 | 22.4,5.2 | 34.8 | 4.9,18.3,27,88 | 1.2 | 1.2,4 | 2.3,2.4 | 3.5,6.2 | 1.5 | 8.7,6 | 6 | 0.7,5.3,8.7,20 | 1.2 | 1.2,3.95 | 2.3,2.3 | 1.6,1.4 | 4.2 | 2.9,9.9 | 0.8 | 0.1,6.2,2.6,0.3 | 2.4 | 2.8,6 | 3,1.2 | 0.9,6 | 2.6 | 6,1.9 | 5.4 | 1.1,2.3,7.5,0.8 | 0.8 | 0,1.65 | 0,Weight Loss,South Indian,Diabetes,Veg,1500
Day 3,1514.5 kcal,67.25 g,203.9 g,49.55 g,43.45 g,Dhaniya pudina chutney | Green Gram Idli | Brinjal sambhar,Curd Rice | Grilled paneer | Green salad,Cauliflower palya | Daal | Wheat Roti,Pear | Almonds | walnuts,Boiled soya chunks,Roasted chana,Coconut water,2 tbsp | 2 Piece | 1 katori,1 Small | 0.5 serving | 1 katori,1 katori | 1 bowl | 2 roti,1 piece | 4 almond | 4 piece,1 katori,1 katori,1 piece,10 | 156 | 117,134 | 143.5 | 60,81 | 116 | 170,28 | 56,47,270,49,1.6 | 22.2 | 15.9,21.2 | 0.9 | 2.8,6.6 | 18.7 | 34.8,77 | 1.2 | 0.8,4.5,46,9.1,0.6 | 9.4 | 5.5,3.7 | 8.45 | 1.4,2.1 | 7.2 | 6,17.6 | 1.2 | 1.2,7.1,9.6,2.9,0.2 | 3.6 | 3.5,3.8 | 11.85 | 4.8,5.7 | 1.4 | 0.8,0.9 | 2.4 | 5.6,0.1,5.3,0.2,1 | 6.6 | 3.2,0.6 | 0.25 | 1.7,2.3 | 3.1 | 5.4,0.3 | 0.8 | 0.8,1.8,7.2,2.3,Weight Loss,South Indian,Diabetes,Veg,1500
Day 4,1499.5 kcal,58.45 g,209.55 g,49.2 g,47.45 g,Vermicelli upma,Soyabean Curry | Carrot tomato salad | Wheat Roti | Dahi,Lemon rice | Brinjal sambhar | Green salad,Oatmeal porridge,Boiled kala chana,Coconut water | walnuts | Cashew Nuts | Chia seeds,Makhana,1.5 katori,1 Katori | 1 katori | 2 roti | 1 katori,1 katori | 1 katori | 1 katori,1 katori,1 katori,1 piece | 4 piece | 4 Piece | 1 tbsp,1 katori,151.5,120 | 27 | 170 | 90,168 | 117 | 60,140,161,49 | 56 | 32 | 47,111,25.05,7.3 | 5.4 | 34.8 | 4.5,30.1 | 15.9 | 2.8,16.7,27.2,9.1 | 0.8 | 1.2 | 4.1,24.6,3.45,8.8 | 0.9 | 6 | 4.7,3.9 | 5.5 | 1.4,6.2,7.6,2.9 | 1.2 | 1.2 | 1.6,3.1,4.2,6.2 | 0.2 | 0.8 | 6,3.6 | 3.5 | 4.8,5.9,2.4,0.2 | 5.6 | 2.8 | 3,0,1.95,5.3 | 2.5 | 5.4 | 0,1.8 | 3.2 | 1.7,2,12.6,2.3 | 0.8 | 0 | 3.3,4.6,Weight Loss,South Indian,Diabetes,Veg,1500
Day 1,1609.5 kcal,75.85 g,185.1 g,64.35 g,37.65 g,Upma,Wheat Roti | Bhindi Sabzi | Buttermilk | Mix daal | Green salad,Green salad | Chicken curry | Brown rice,Papaya | walnuts | Almonds,Egg white,Apple | Cashew Nuts,Besan chilla | Dahi,1.5 katori,2 roti | 1 Katori | 1 glass | 1 katori | 1 katori,1 katori | 1 katori | 1 katori,1 cup | 6 piece | 6 almond,boiled,1 piece | 6 Piece,1 chilla | 0.5 katori,256.5,170 | 68 | 45 | 149 | 60,60 | 163 | 109,84 | 42,4 piece,48,108 | 45,36.45,34.8 | 7.1 | 2.3 | 22.4 | 2.8,2.8 | 4.6 | 22.8,46 | 1.2 | 1.8,68,88 | 1.8,10.8 | 2.25,6.6,6 | 1.8 | 2.3 | 8.7 | 1.4,1.4 | 17.9 | 2.4,10.4 | 1.8 | 1.8,0.8,20 | 1.8,4 | 2.35,9.45,0.8 | 3.7 | 3 | 2.9 | 4.8,4.8 | 7.7 | 0.9,0.9 | 8.4 | 3.6,14.4,0.3 | 4.2,5.3 | 3,3.75,5.4 | 3.1 | 0 | 6 | 1.7,1.7 | 1.7 | 1,0.2 | 1.2 | 1.2,0.8,0.8 | 0,2.3 | 0,Weight Loss,North Indian,Cholesterol,Non Veg,1600
Day 2,1600.5 kcal,64.8 g,202.25 g,63.1 g,37.75 g,Dahi | Stuffed Vegetable Paratha,Carrot tomato salad | Sprouts curry | Grilled paneer | Brown rice,Paneer capsicum sabzi | Green salad | Jowar roti | Buttermilk,Plain oats | Cow milk | Pomegranate,Epigamia plain yoghurt,Pear | Almonds,Boiled sprouted chana,1 katori | 1 Piece,1 katori | 1 katori | 0.5 serving | 1 katori,1 katori | 1 katori | 2 piece | 1 glass,1 serving | 0.5 glass | 0.5 cup,1 pack,1 piece | 4 almond,1 katori,90 | 121,27 | 104 | 143.5 | 109,132 | 60 | 166 | 45,112 | 84 | 72,69,28,161,4.5 | 16.4,5.4 | 14.3 | 0.9 | 22.8,5.2 | 2.8 | 35.6 | 2.3,18.9 | 5.5 | 16.25,5.6,77 | 1.2,27,4.7 | 2.9,0.9 | 4.6 | 8.45 | 2.4,6 | 1.4 | 3.6 | 2.3,4.1 | 4 | 1.45,7.2,17.6 | 1.2,8.7,6 | 5,0.2 | 4.1 | 11.85 | 0.9,9.9 | 4.8 | 1.6 | 3,2.3 | 5.15 | 1,2,0.9 | 2.4,2.6,0 | 3.4,2.5 | 2.5 | 0.25 | 1,1.9 | 1.7 | 3 | 0,3.3 | 0 | 3.5,0,0.3 | 0.8,7.5,Weight Loss,North Indian,Cholesterol,Non Veg,1600
Day 3,1607 kcal,75.8 g,195.7 g,60.2 g,37.9 g,Vegetable dalia | Dahi,Bajra roti | Carrot tomato salad | Buttermilk | Chicken curry,Soya chunk pulao | Carrot tomato salad | Tomato cucumber raita,Apple smoothie,Boiled Egg,Coconut water | Almonds | Cashew Nuts,Carrot Soup | Makhana,1 katori | 1 katori,2 piece | 1 katori | 1 glass | 1 katori,1.5 katori | 1 katori | 1 katori,1 glass,2 Egg,1 piece | 6 almond | 6 Piece,1 Bowl | 1 katori,83 | 90,226 | 27 | 45 | 163,222 | 27 | 51,145,172,49 | 42 | 48,106 | 111,15.4 | 4.5,38.2 | 5.4 | 2.3 | 4.6,35.4 | 5.4 | 5.5,22,2,9.1 | 1.8 | 1.8,17.7 | 24.6,2.7 | 4.7,6.6 | 0.9 | 2.3 | 17.9,9.3 | 0.9 | 2.5,3.6,13.2,2.9 | 1.8 | 1.8,1.6 | 3.1,1.6 | 6,5.2 | 0.2 | 3 | 7.7,4.5 | 0.2 | 2.4,4.9,13.2,0.2 | 3.6 | 4.2,3.3 | 0,4 | 0,6.4 | 2.5 | 0 | 1.7,3.6 | 2.5 | 1.1,1.6,0,2.3 | 1.2 | 0,6.4 | 4.6,Weight Loss,North Indian,Cholesterol,Non Veg,1600
Day 4,1589 kcal,65.4 g,225.4 g,49.3 g,39.1 g,Dahi | Gobi matar paratha,Wheat Roti | Lobia sabzi | Capsicum lettuce salad | Buttermilk,Chicken drumstick gravy | Brown rice,Papaya smoothie,Sprouts,Cashew Nuts | Pineapple,Roasted chana,1 katori | 2 piece,2 roti | 1 katori | 1 katori | 1 glass,1 katori | 1 katori,1 glass,1 Katori,4 Piece | 4 thin,1 katori,90 | 294,170 | 114 | 49 | 45,140 | 109,148,24,32 | 104,270,4.5 | 41.4,34.8 | 16 | 3.7 | 2.3,5.2 | 22.8,18.3,4.8,1.2 | 24.4,46,4.7 | 9.2,6 | 6.7 | 1.1 | 2.3,13.7 | 2.4,5.3,2.4,1.2 | 0.8,9.6,6 | 10.2,0.8 | 2.7 | 3.7 | 3,7.1 | 0.9,6.2,0.2,2.8 | 0.4,5.3,0 | 9.2,5.4 | 2.4 | 1.9 | 0,1.9 | 1,2.3,1.4,0 | 6.4,7.2,Weight Loss,North Indian,Cholesterol,Non Veg,1600
Day 1,1669 kcal,61.2 g,277.45 g,36.6 g,42.85 g,Peas poha,Wheat Roti | Daal | Chhole,Daal | Wheat Roti | Brown rice | Dahi,Mosambi | Almonds,Papaya smoothie,Almonds | Mosambi,Roasted chana,1.5 katori,2 roti | 1 bowl | 1 katori,1 bowl | 1 roti | 1 katori | 1 katori,1 piece | 4 almond,1 glass,4 almond | 4 piece,1 katori,210,170 | 116 | 154,116 | 85 | 109 | 90,29 | 28,148,28 | 116,270,41.85,34.8 | 18.7 | 21,18.7 | 17.4 | 22.8 | 4.5,6.2 | 1.2,18.3,1.2 | 24.8,46,4.5,6 | 7.2 | 6.4,7.2 | 3 | 2.4 | 4.7,0.5 | 1.2,5.3,1.2 | 2,9.6,3,0.8 | 1.4 | 5.4,1.4 | 0.4 | 0.9 | 6,0.2 | 2.4,6.2,2.4 | 0.8,5.3,1.65,5.4 | 3.1 | 5.8,3.1 | 2.7 | 1 | 0,1.8 | 0.8,2.3,0.8 | 7.2,7.2,Weight Loss,Maharashtrian,Cholesterol,Veg,1700
Day 2,1712 kcal,63.45 g,236.8 g,64.65 g,38.9 g,Cow milk | Upma,Paneer Pulao | Tomato cucumber raita,Chana palak curry | Mix daal | Jowar Bhakri,Khakra,Sprouts,Pomegranate | Almonds,Apple | walnuts,1 glass | 1.5 katori,2 Katori | 1.5 katori,1 katori | 1 katori | 2 Piece,1 Piece,2 Katori,1 cup | 6 almond,1 piece | 6 piece,168 | 256.5,272 | 76.5,129 | 149 | 166,89,48,144 | 42,84,11 | 36.45,39 | 8.25,17.2 | 22.4 | 35.6,1.8,9.6,32.5 | 1.8,88 | 1.2,8 | 6.6,13.8 | 3.75,4.9 | 8.7 | 3.6,2.5,4.8,2.9 | 1.8,20 | 1.8,10.3 | 9.45,13.8 | 3.6,4.8 | 2.9 | 1.6,3,0.4,2 | 3.6,0.3 | 8.4,0 | 3.75,0.6 | 1.65,4.9 | 6 | 3,2,2.8,7 | 1.2,0.8 | 1.2,Weight Loss,Maharashtrian,Cholesterol,Veg,1700
Day 3,1705 kcal,63.9 g,215.1 g,66.5 g,35.5 g,Brinjal sambhar | Rava idli,Baigan Sabzi | Grilled paneer | Wheat Roti,Wheat Roti | Masooor Bhaji | Kheera tamatar salad,Almonds | Mosambi,Apple smoothie,Carrot beetroot juice | Soaked and peeled almonds,Puffed Rice Chivda,1 katori | 2 rava,1 Katori | 1 serving | 2 roti,2 roti | 1 Katori | 1 katori,6 almond | 1 piece,1 glass,1 glass | 6 almond,1 Katori,117 | 168,115 | 287 | 170,170 | 189 | 15,42 | 29,145,72 | 48,138,15.9 | 27.2,6.6 | 1.8 | 34.8,34.8 | 24.7 | 3.2,1.8 | 6.2,22,15.7 | 0.6,19.8,5.5 | 5.2,2.2 | 16.9 | 6,6 | 8.5 | 0.6,1.8 | 0.5,3.6,2.1 | 1.8,3.2,3.5 | 4.4,8.8 | 23.7 | 0.8,0.8 | 6.4 | 0.1,3.6 | 0.2,4.9,0 | 4.2,5.1,3.2 | 2.2,3.1 | 0.5 | 5.4,5.4 | 5.6 | 0.9,1.2 | 1.8,1.6,1 | 1.2,2.4,Weight Loss,Maharashtrian,Cholesterol,Veg,1700
